dataset,model,fold,size,split,f1,recall
cleveland,random_forest,7,145,val,0.8888888888888888,0.8571428571428571
cleveland,logistic_regression,7,145,train,0.8769230769230769,0.8636363636363636
cleveland,logistic_regression,7,145,val,0.8363636363636363,0.8214285714285714
cleveland,random_forest,7,169,train,0.987012987012987,0.987012987012987
cleveland,random_forest,7,169,val,0.9090909090909091,0.8928571428571429
cleveland,logistic_regression,7,169,train,0.8666666666666667,0.8441558441558441
cleveland,logistic_regression,7,169,val,0.8363636363636363,0.8214285714285714
cleveland,random_forest,7,193,train,0.9886363636363636,0.9886363636363636
cleveland,random_forest,7,193,val,0.9090909090909091,0.8928571428571429
cleveland,logistic_regression,7,193,train,0.8654970760233918,0.8409090909090909
cleveland,logistic_regression,7,193,val,0.8363636363636363,0.8214285714285714
cleveland,random_forest,7,217,train,0.9847715736040609,0.9797979797979798
cleveland,random_forest,7,217,val,0.8888888888888888,0.8571428571428571
cleveland,logistic_regression,7,217,train,0.8677248677248677,0.8282828282828283
cleveland,logistic_regression,7,217,val,0.8727272727272727,0.8571428571428571
cleveland,random_forest,7,242,train,0.9773755656108597,0.9818181818181818
cleveland,random_forest,7,242,val,0.9056603773584906,0.8571428571428571
cleveland,logistic_regression,7,242,train,0.861244019138756,0.8181818181818182
cleveland,logistic_regression,7,242,val,0.8888888888888888,0.8571428571428571
cleveland,random_forest,8,24,train,1.0,1.0
cleveland,random_forest,8,24,val,0.7450980392156863,0.7037037037037037
cleveland,logistic_regression,8,24,train,1.0,1.0
cleveland,logistic_regression,8,24,val,0.75,0.6666666666666666
cleveland,random_forest,8,48,train,1.0,1.0
cleveland,random_forest,8,48,val,0.7450980392156863,0.7037037037037037
cleveland,logistic_regression,8,48,train,0.9523809523809523,0.9090909090909091
cleveland,logistic_regression,8,48,val,0.7719298245614035,0.8148148148148148
cleveland,random_forest,8,72,train,0.96875,0.9393939393939394
cleveland,random_forest,8,72,val,0.7924528301886793,0.7777777777777778
cleveland,logistic_regression,8,72,train,0.9393939393939394,0.9393939393939394
cleveland,logistic_regression,8,72,val,0.8,0.8888888888888888
cleveland,random_forest,8,96,train,0.9885057471264368,0.9772727272727273
cleveland,random_forest,8,96,val,0.7843137254901961,0.7407407407407407
cleveland,logistic_regression,8,96,train,0.896551724137931,0.8863636363636364
cleveland,logistic_regression,8,96,val,0.7777777777777778,0.7777777777777778
cleveland,random_forest,8,121,train,0.9908256880733946,0.9818181818181818
cleveland,random_forest,8,121,val,0.7450980392156863,0.7037037037037037
cleveland,logistic_regression,8,121,train,0.9009009009009009,0.9090909090909091
cleveland,logistic_regression,8,121,val,0.7636363636363637,0.7777777777777778
cleveland,random_forest,8,145,train,0.9924812030075187,1.0
cleveland,random_forest,8,145,val,0.76,0.7037037037037037
cleveland,logistic_regression,8,145,train,0.8787878787878788,0.8787878787878788
cleveland,logistic_regression,8,145,val,0.7692307692307693,0.7407407407407407
cleveland,random_forest,8,169,train,0.987012987012987,0.987012987012987
cleveland,random_forest,8,169,val,0.7450980392156863,0.7037037037037037
cleveland,logistic_regression,8,169,train,0.8741721854304636,0.8571428571428571
cleveland,logistic_regression,8,169,val,0.7450980392156863,0.7037037037037037
cleveland,random_forest,8,193,train,0.9886363636363636,0.9886363636363636
cleveland,random_forest,8,193,val,0.7450980392156863,0.7037037037037037
cleveland,logistic_regression,8,193,train,0.872093023255814,0.8522727272727273
cleveland,logistic_regression,8,193,val,0.7450980392156863,0.7037037037037037
cleveland,random_forest,8,217,train,0.98989898989899,0.98989898989899
cleveland,random_forest,8,217,val,0.72,0.6666666666666666
cleveland,logistic_regression,8,217,train,0.8911917098445595,0.8686868686868687
cleveland,logistic_regression,8,217,val,0.7692307692307693,0.7407407407407407
cleveland,random_forest,8,242,train,0.9818181818181818,0.972972972972973
cleveland,random_forest,8,242,val,0.7346938775510204,0.6666666666666666
cleveland,logistic_regression,8,242,train,0.8888888888888888,0.8648648648648649
cleveland,logistic_regression,8,242,val,0.7450980392156863,0.7037037037037037
cleveland,random_forest,9,24,train,1.0,1.0
cleveland,random_forest,9,24,val,0.7391304347826086,0.6296296296296297
cleveland,logistic_regression,9,24,train,1.0,1.0
cleveland,logistic_regression,9,24,val,0.7755102040816326,0.7037037037037037
cleveland,random_forest,9,48,train,1.0,1.0
cleveland,random_forest,9,48,val,0.7547169811320755,0.7407407407407407
cleveland,logistic_regression,9,48,train,0.9545454545454546,0.9545454545454546
cleveland,logistic_regression,9,48,val,0.8070175438596491,0.8518518518518519
cleveland,random_forest,9,72,train,1.0,1.0
cleveland,random_forest,9,72,val,0.7692307692307693,0.7407407407407407
cleveland,logistic_regression,9,72,train,0.9253731343283582,0.9393939393939394
cleveland,logistic_regression,9,72,val,0.8148148148148148,0.8148148148148148
cleveland,random_forest,9,96,train,0.9887640449438202,1.0
cleveland,random_forest,9,96,val,0.8421052631578947,0.8888888888888888
cleveland,logistic_regression,9,96,train,0.9047619047619048,0.8636363636363636
cleveland,logistic_regression,9,96,val,0.8,0.8888888888888888
cleveland,random_forest,9,121,train,0.990990990990991,1.0
cleveland,random_forest,9,121,val,0.7719298245614035,0.8148148148148148
cleveland,logistic_regression,9,121,train,0.9056603773584906,0.8727272727272727
cleveland,logistic_regression,9,121,val,0.8275862068965517,0.8888888888888888
cleveland,random_forest,9,145,train,0.9924812030075187,1.0
cleveland,random_forest,9,145,val,0.8363636363636363,0.8518518518518519
cleveland,logistic_regression,9,145,train,0.8682170542635659,0.8484848484848485
cleveland,logistic_regression,9,145,val,0.8363636363636363,0.8518518518518519
cleveland,random_forest,9,169,train,0.9935483870967742,1.0
cleveland,random_forest,9,169,val,0.7692307692307693,0.7407407407407407
cleveland,logistic_regression,9,169,train,0.8859060402684564,0.8571428571428571
cleveland,logistic_regression,9,169,val,0.8363636363636363,0.8518518518518519
cleveland,random_forest,9,193,train,0.9943502824858758,1.0
cleveland,random_forest,9,193,val,0.7924528301886793,0.7777777777777778
cleveland,logistic_regression,9,193,train,0.8654970760233918,0.8409090909090909
cleveland,logistic_regression,9,193,val,0.8461538461538461,0.8148148148148148
cleveland,random_forest,9,217,train,0.9849246231155779,0.98989898989899
cleveland,random_forest,9,217,val,0.7547169811320755,0.7407407407407407
cleveland,logistic_regression,9,217,train,0.8556701030927835,0.8383838383838383
cleveland,logistic_regression,9,217,val,0.8461538461538461,0.8148148148148148
cleveland,random_forest,9,242,train,0.9775784753363229,0.9819819819819819
cleveland,random_forest,9,242,val,0.7777777777777778,0.7777777777777778
cleveland,logistic_regression,9,242,train,0.8440366972477065,0.8288288288288288
cleveland,logistic_regression,9,242,val,0.8301886792452831,0.8148148148148148
cleveland,random_forest,10,24,train,1.0,1.0
cleveland,random_forest,10,24,val,0.68,0.6071428571428571
cleveland,logistic_regression,10,24,train,1.0,1.0
cleveland,logistic_regression,10,24,val,0.64,0.5714285714285714
cleveland,random_forest,10,48,train,1.0,1.0
cleveland,random_forest,10,48,val,0.7659574468085106,0.6428571428571429
cleveland,logistic_regression,10,48,train,0.9767441860465116,0.9545454545454546
cleveland,logistic_regression,10,48,val,0.7346938775510204,0.6428571428571429
cleveland,random_forest,10,72,train,0.9846153846153847,0.9696969696969697
cleveland,random_forest,10,72,val,0.7307692307692307,0.6785714285714286
cleveland,logistic_regression,10,72,train,0.9523809523809523,0.9090909090909091
cleveland,logistic_regression,10,72,val,0.7547169811320755,0.7142857142857143
cleveland,random_forest,10,96,train,1.0,1.0
cleveland,random_forest,10,96,val,0.7755102040816326,0.6785714285714286
cleveland,logistic_regression,10,96,train,0.9647058823529412,0.9318181818181818
